# Segments csv created Sun Mar  5 10:54:31 2017
# num_ytids=22160, num_segs=22160, num_unique_labels=527, num_positive_labels=52882
# YTID, start_seconds, end_seconds, positive_labels
-g6_Qzkrmug, 30.000, 40.000, "/m/07pxg6y,/m/07yv9,/m/09x0r"
-gKNRXbpAKs, 30.000, 40.000, "/m/012n7d,/m/03j1ly,/m/03kmc9,/m/0dgbq"
-hDuDDv0lbQ, 30.000, 40.000, "/m/04rlf,/m/068hy,/m/07qf0zm,/m/07r_k2n,/m/0bt9lr,/m/0jbk"
-jBWkHhQNew, 30.000, 40.000, "/m/02mk9,/m/07pb8fc,/m/07q2z82,/m/07yv9,/m/0k4j,/t/dd00066,/t/dd00130"
-jMyzNbR7WM, 10.000, 20.000, "/t/dd00134"
-kRxowDMwdQ, 80.000, 90.000, "/m/01h82_,/m/02mk9,/m/04_sv,/m/07yv9"
-lYg4hm25hU, 30.000, 40.000, "/m/04rlf,/m/07q4ntr,/m/07rwj3x,/m/09x0r"
-mNbbwgUZtQ, 140.000, 150.000, "/m/02mk9,/m/03p19w,/m/09x0r,/t/dd00128"
-oSw8wNpLcY, 60.000, 70.000, "/m/030rvx,/m/03kmc9"
-oYYvzarYDs, 70.000, 80.000, "/m/07rknqz,/m/07yv9,/m/0h9mv,/m/0k4j,/m/0ltv"
-ojOx7vd_yU, 540.000, 550.000, "/m/0199g,/m/07yv9"
-pzwalZ0ub0, 5.000, 15.000, "/m/02rhddq,/m/09x0r"
-qGd1JwYLbQ, 30.000, 40.000, "/m/068hy,/m/07qf0zm,/m/07r_k2n,/m/07rc7d9,/m/0bt9lr,/m/0jbk"
-qJ-NY6wY3s, 30.000, 40.000, "/m/0bt9lr,/m/0ghcn6,/m/0jbk"
-s9kwrRilOY, 30.000, 40.000, "/m/02rhddq,/m/07r04,/m/07yv9"
-skhG36uWM0, 20.000, 30.000, "/m/01z5f,/m/068hy,/m/09x0r,/m/0bt9lr,/m/0ghcn6"
-t1zgGxlhPM, 290.000, 300.000, "/m/07hvw1,/m/07yv9,/m/0k4j,/m/0ltv"
-uBbPbRML3U, 290.000, 300.000, "/m/07yv9,/m/0h9mv,/m/0k4j,/m/0ltv"
-wfRMEaJkRk, 30.000, 40.000, "/m/012f08,/m/07rknqz,/m/07yv9,/m/0k4j"
-x2aAKUtNRw, 30.000, 40.000, "/m/02mk9,/m/07yv9,/m/0k4j,/t/dd00066,/t/dd00130"
-x70B12Mb-8, 30.000, 40.000, "/m/02rhddq,/m/07r04,/m/07yv9"
-xYBYEJ_O6w, 10.000, 20.000, "/m/01g50p,/m/0284vy3,/m/06d_3,/m/07jdr"
-xyxF0ahpKk, 0.000, 4.000, "/t/dd00134"
-z0q4AgXQwo, 30.000, 40.000, "/m/012f08,/m/07rknqz,/m/07yv9,/m/09x0r,/m/0k4j"
-z47zN0YyE4, 420.000, 430.000, "/m/012ndj,/m/03j1ly,/m/03kmc9"
-zxrdL6MlKI, 30.000, 40.000, "/m/02rhddq,/m/07r04,/m/07yv9"
00W1lcxW-WU, 40.000, 50.000, "/m/0l156k"
01xpKyI0rXA, 180.000, 190.000, "/m/07rknqz,/m/07yv9,/m/0k4j,/m/0ltv"
02q5C77_xeQ, 250.000, 260.000, "/m/068hy,/m/07pbtc8,/m/09x0r,/m/0bt9lr,/m/0jbk"
02rLonMSO9k, 60.000, 70.000, "/m/01y3hg"
02tl_ek8f9I, 30.000, 40.000, "/m/02mk9,/m/07pb8fc,/m/07yv9,/m/0k4j"
03NLMEMi8-I, 30.000, 40.000, "/m/03kmc9,/m/0dgbq"
03kFLTZguBs, 100.000, 110.000, "/m/0463cq4,/m/09x0r"
04JKX_vlePE, 90.000, 100.000, "/m/01y3hg,/m/09x0r"
06OT6nqAuLM, 50.000, 60.000, "/m/03p19w,/m/068hy,/m/0bt9lr,/m/0jbk,/t/dd00125"
06PzXIqzQXM, 200.000, 210.000, "/m/03l9g"
06k-cXmaeAY, 30.000, 40.000, "/m/07r_k2n,/m/09x0r"
07-vpXo91XM, 70.000, 80.000, "/m/02cz_7,/m/04rlf,/m/07q4ntr,/m/0glt670"
07J4uVMPSW4, 30.000, 40.000, "/m/0199g,/m/07yv9,/m/09x0r"
0AAvXso7C5c, 160.000, 170.000, "/m/04zmvq"
0AHA6Zz-ykw, 30.000, 40.000, "/t/dd00134"
0DefiYiEF4E, 19.000, 29.000, "/m/04rlf,/m/07yv9,/m/09x0r,/m/0gvgw0"
0EkXQKzNjkg, 30.000, 40.000, "/t/dd00134"
0FQo-2xRJ0E, 30.000, 40.000, "/m/02rhddq,/m/07yv9"
0H7e3F9KL78, 0.000, 10.000, "/m/030rvx,/t/dd00125"
0HVlzmjFe7k, 20.000, 30.000, "/m/04cvmfc,/m/0cdnk,/t/dd00129"
0Hz4R_m0hmI, 80.000, 90.000, "/m/02mfyn"
0IUR0a8uR5c, 30.000, 40.000, "/m/07rknqz,/m/0h9mv,/m/0k4j"
0JKcTVpby0I, 30.000, 40.000, "/m/03kmc9,/m/0dgbq"
0JPT13OUVV8, 220.000, 230.000, "/m/012ndj,/m/03j1ly,/m/03kmc9"
0L7-8yqgMEo, 130.000, 140.000, "/m/01280g,/m/09x0r,/m/0cdnk,/m/0jbk"
0Ly5mdtHGzE, 260.000, 270.000, "/m/01d380,/m/07k1x,/m/0_ksk"
0ML_fBIrGqA, 10.000, 20.000, "/m/0199g,/m/07yv9,/t/dd00125"
0O9ZfRn69i8, 30.000, 40.000, "/m/07yv9,/m/09t49,/m/0k4j"
0OiPtV9sd_w, 30.000, 40.000, "/m/02rhddq,/m/07r04,/m/07yv9"
0PIt9R2GD8Q, 30.000, 40.000, "/m/01bjv,/m/07yv9,/m/09x0r"
0PhU-PIsUMw, 80.000, 90.000, "/m/03kmc9,/m/0dgbq"
0QKet-tdquc, 30.000, 40.000, "/m/02rhddq,/m/07yv9"
0QzVs8IBn_E, 30.000, 40.000, "/m/02mk9,/m/07pb8fc,/m/07q2z82,/m/07yv9,/t/dd00066"
0R8NB5yxmMk, 10.000, 20.000, "/m/03l9g"
0RjFykTxCvc, 30.000, 40.000, "/m/025rv6n,/m/07qwf61,/m/0dbvp"
0RlxIDv_78w, 1.000, 11.000, "/m/07rwj3x,/m/09x0r"
0SRRe7FAJCI, 30.000, 40.000, "/m/07yv9,/m/0gvgw0"
0SkccP8H-fQ, 390.000, 400.000, "/m/01g50p,/m/04zmvq,/m/06d_3,/m/07jdr,/m/07rwm0c"
0Ufv6VdlPHM, 30.000, 40.000, "/m/07pxg6y"
0Wt_S3ZEp_I, 30.000, 40.000, "/m/02rhddq,/m/07r04,/m/07yv9"
0XnlJAdG5e8, 30.000, 40.000, "/m/07r04,/m/07yv9,/m/0gvgw0"
0ZqLJ1n7gAs, 330.000, 340.000, "/m/04rlf,/m/07rknqz,/m/09x0r"
0_R83lyXiaU, 30.000, 40.000, "/m/01h3n,/m/03l9g,/m/03vt0,/m/0h2mp"
0amHVSbkaX8, 60.000, 70.000, "/m/07pp_mv,/m/0c3f7m"
0auuJJiE2xI, 30.000, 40.000, "/m/07yv9,/m/09x0r,/m/0gvgw0"
0bR-EsIOoz0, 10.000, 20.000, "/m/07yv9,/m/09x0r,/m/0h9mv,/m/0k4j,/m/0ltv"
0cjmAt96WEI, 70.000, 80.000, "/m/0199g,/m/07yv9,/m/09x0r"
0cr9YtzgZT4, 30.000, 40.000, "/m/02rhddq,/m/07r04,/m/07yv9,/m/0gvgw0"
0ct9AETvIdE, 30.000, 40.000, "/m/02mfyn"
0cwIKnoMEBE, 40.000, 50.000, "/m/07pp_mv,/m/0c3f7m"
0eK_cwwvWAs, 50.000, 60.000, "/m/025rv6n,/m/07qwf61,/m/07st89h,/m/09b5t"
0ehwxbvn3d0, 320.000, 330.000, "/m/04rlf,/m/07p6fty,/m/09x0r"
0fm0oU8FO0U, 30.000, 40.000, "/m/07yv9,/m/09ct_,/m/0chx_"
0hipL0SkXMo, 40.000, 50.000, "/m/02mk9,/m/07phhsh,/m/07yv9,/m/0k4j"
0iNkEzDn2ys, 580.000, 590.000, "/m/07p6fty,/m/09x0r"
0j8uGnMwGbs, 0.000, 7.000, "/m/04fq5q"
0jBiK305ZIY, 30.000, 40.000, "/m/012f08,/m/07rknqz,/m/07yv9,/m/0k4j"
0kdRxEiEGIs, 190.000, 200.000, "/m/01z5f,/m/03cczk,/m/068hy,/m/07pdhp0,/m/07pzfmf,/m/0bt9lr,/m/0jbk"
0m72FCNQQEI, 40.000, 50.000, "/m/014yck,/m/07yv9,/m/0cmf2,/m/0k5j"
0mG5unAv2_A, 170.000, 180.000, "/m/01yg9g,/m/07yv9"
0mgwBb6HO-k, 420.000, 430.000, "/m/012f08,/m/07yv9,/m/0h9mv,/m/0k4j"
0ng703aLhXs, 17.000, 27.000, "/m/07pp_mv"
0npLQ4LzD0c, 40.000, 50.000, "/m/02mfyn"
0omVgdC33FQ, 10.000, 20.000, "/m/01g50p,/m/0284vy3,/m/06d_3,/m/07jdr"
0pgG7Rk_eqM, 140.000, 150.000, "/m/01j4z9,/t/dd00129"
0pr3Huz6pq8, 180.000, 190.000, "/m/01280g,/m/09x0r,/m/0cdnk,/m/0jbk"
0pxApm5Y6eM, 140.000, 150.000, "/m/03p19w,/m/09x0r,/t/dd00129"
0qCbtn--t6Q, 30.000, 40.000, "/t/dd00134"
0qMF1IbyV3I, 60.000, 70.000, "/m/01280g,/m/0cdnk,/m/0jbk"
0rhb_K228gA, 30.000, 40.000, "/m/068hy,/m/0bt9lr,/m/0jbk,/t/dd00136"
0yZgsUq3yWY, 30.000, 40.000, "/m/07r04,/m/07yv9,/m/0gvgw0"
11Pn3yJifSQ, 4.000, 14.000, "/m/02mk9,/m/07q2z82,/m/07yv9,/m/0k4j,/t/dd00066,/t/dd00130"
15mQMIemjFM, 90.000, 100.000, "/m/07pxg6y,/m/09x0r,/t/dd00126"
17bfDrV7bvY, 30.000, 40.000, "/m/07pb8fc,/m/07r04,/m/09x0r,/t/dd00066"
1AwDdAiWVqY, 30.000, 40.000, "/m/07yv9,/m/0gvgw0,/m/0k4j"
1Co1uyI6Ulw, 7.000, 17.000, "/m/014zdl,/m/07pxg6y,/m/07qsvvw"
1H1yR1SK4_M, 30.000, 40.000, "/m/04rlf,/m/07r04,/m/07yv9,/m/09x0r,/m/0gvgw0"
1JA4xWUWnxk, 490.000, 500.000, "/m/07qqyl4"
1Ms9GajaUQ4, 30.000, 40.000, "/t/dd00134"
1NYANpd5Grs, 160.000, 170.000, "/m/068hy,/m/07pdhp0,/m/0bt9lr,/t/dd00125"
1OHxLcGzhv0, 30.000, 40.000, "/m/014zdl,/m/04rlf,/m/07pxg6y"
1PK0s_W9hkM, 0.000, 10.000, "/m/07rn7sz"
1PM96hV5XMo, 30.000, 40.000, "/m/07r04,/m/07yv9,/m/0gvgw0"
1PQCymDynPs, 240.000, 250.000, "/m/07yv9,/m/0btp2"
1PxKjFulkLs, 30.000, 40.000, "/m/068hy,/m/07rc7d9,/m/0bt9lr,/m/0jbk,/t/dd00136"
1QN_iWjfMOc, 450.000, 460.000, "/m/01280g,/m/09x0r,/m/0cdnk,/m/0jbk"
1V6XB6jcz7c, 20.000, 30.000, "/m/014yck,/m/07phhsh,/m/07yv9,/m/0cmf2,/m/0k5j"
1WFLYqsLvv0, 0.000, 10.000, "/m/01y3hg,/m/0c3f7m"
1_PQvsAw110, 70.000, 80.000, "/m/07phhsh,/m/07yv9,/t/dd00129"
1_nOAVumWY4, 0.000, 10.000, "/t/dd00134"
1c8yp4_Fji8, 30.000, 40.000, "/m/01y3hg"
1cjduhFyTkA, 30.000, 40.000, "/m/07yv9,/m/09x0r,/m/0gvgw0"
1eI2-vhs0YY, 21.000, 31.000, "/m/068hy,/m/07r_k2n,/m/07rc7d9,/m/09x0r,/m/0bt9lr,/m/0jbk"
1eQSkR2w0R8, 380.000, 390.000, "/m/01yg9g,/m/02mk9,/m/09x0r"
1eevpRge3Fo, 10.000, 20.000, "/m/07qs1cx,/m/07qsvvw,/m/09x0r"
1ef2v0i7w0w, 21.000, 31.000, "/m/04rlf,/m/07yv9,/m/09x0r,/m/0gvgw0,/m/0k4j"
1gqVlwoOqs4, 390.000, 400.000, "/m/025rv6n,/m/07qwf61,/m/0dbvp"
1jW3uOGX5iI, 30.000, 40.000, "/m/07yv9,/m/0gvgw0"
1jokDJHu4_s, 40.000, 50.000, "/m/07pb8fc,/m/07yv9,/t/dd00129"
1kjnqM-ptrk, 110.000, 120.000, "/m/07rn7sz,/m/09x0r"
1kplUdxiw3s, 240.000, 250.000, "/m/0195fx,/m/01g50p,/m/06d_3,/m/07jdr,/t/dd00048"
1p2-GaPCoI4, 0.000, 10.000, "/m/01b82r,/m/07pdjhy,/m/083vt"
1qABIRAKQoM, 10.000, 20.000, "/m/01yg9g"
1qQM4y2o8bo, 460.000, 470.000, "/m/012f08,/m/07yv9,/m/09x0r,/m/0btp2,/m/0k4j"
1t3Cpx7HYf4, 0.000, 10.000, "/m/012f08,/m/01jwx6,/m/02mk9,/m/07yv9,/t/dd00130"
1wXZEzLFXCY, 0.000, 10.000, "/m/0199g,/m/04rlf,/m/0gy1t2s"
1yRMYH8cSFM, 190.000, 200.000, "/m/04zmvq,/m/06d_3,/m/07jdr"
1ypKPVja6Mc, 30.000, 40.000, "/m/07qsvvw"
2-1wY_Ndtgw, 10.000, 20.000, "/m/07yv9,/m/09x0r,/m/0k4j,/t/dd00129,/t/dd00130"
21t4gB5IhFs, 18.000, 28.000, "/m/07yv9,/m/09x0r,/m/0gvgw0"
23UWAHaywwo, 20.000, 30.000, "/m/04_sv,/m/07yv9,/m/09x0r"
23otuGifKyU, 0.000, 8.000, "/m/07pxg6y"
24O7Q2AI6vw, 10.000, 20.000, "/m/07qf0zm,/m/0jbk,/t/dd00125"
24OPDiqr6VA, 0.000, 10.000, "/m/07yv9,/m/0brhx,/m/0k4j"
26r32VaJAP8, 520.000, 530.000, "/m/04rlf,/m/07qqyl4,/m/09x0r"
27hhv7oJX_Y, 0.000, 10.000, "/m/030rvx"
2BK1ZmLWSDU, 380.000, 390.000, "/m/07yv9,/m/09x0r,/m/0h9mv,/m/0k4j,/m/0ltv"
2CMVqo7dIZU, 20.000, 30.000, "/m/07rn7sz"
2Cj6N6XaTIA, 30.000, 40.000, "/m/02mk9,/m/07yv9,/t/dd00066,/t/dd00067"
2Ck7MX5LEck, 90.000, 100.000, "/m/03v3yw,/m/07yv9,/m/0k4j"
2ClQcAd-wJg, 30.000, 40.000, "/m/030rvx,/m/09x0r"
2DYxo-rDq8g, 9.000, 19.000, "/m/07rc7d9,/m/09x0r,/m/0bt9lr,/m/0jbk,/t/dd00136"
2E_DSIihhms, 30.000, 40.000, "/m/0l156k"
2FkbTil7Bqk, 30.000, 40.000, "/t/dd00134"
2Gu16Qh4EHw, 9.000, 19.000, "/m/014zdl,/m/07qsvvw,/m/09x0r"
2IRvx2GQ39M, 0.000, 7.000, "/m/05x_td,/m/09x0r"
2IWV8hlUydk, 20.000, 30.000, "/m/02yds9,/m/068hy,/m/0bt9lr,/m/0jbk"
2IghwseoISc, 0.000, 10.000, "/m/07yv9,/m/09ct_"
2IpCIYF0lVU, 29.000, 39.000, "/m/012f08,/m/07rknqz,/m/07yv9,/m/09x0r,/m/0k4j"
2JEeD3O0NnM, 30.000, 40.000, "/m/04rlf,/m/068hy,/m/07r_k2n,/m/07rc7d9,/m/0bt9lr,/m/0jbk"
2KwwQHit0-Q, 30.000, 40.000, "/m/0l156k"
2LZ0q78OWZE, 0.000, 8.000, "/m/014zdl,/m/07qsvvw"
2LnkfTirErI, 30.000, 40.000, "/m/02mk9,/m/07pb8fc,/m/07phhsh,/m/07yv9,/m/09x0r,/t/dd00066"
2NuMifM0Uio, 10.000, 20.000, "/m/04rlf,/m/07rn7sz,/m/0c1dj"
2NznKe2WaOc, 30.000, 40.000, "/m/03qc9zr"
2Og-RS5LXno, 150.000, 160.000, "/m/01b82r,/m/083vt"
2OyaXZ0sFsg, 410.000, 420.000, "/m/07pyf11,/m/07yv9,/m/0k4j"
2PXcJCAVf38, 30.000, 40.000, "/m/04rlf,/m/07mzm6,/m/0bt9lr,/m/0jbk"
2Pq9c0tFt1g, 30.000, 40.000, "/m/012n7d,/m/03j1ly,/m/03kmc9"
2R6B4xm9LL8, 100.000, 110.000, "/m/014yck,/m/07yv9,/m/0cmf2,/m/0k5j"
2RpOd9MJjyQ, 10.000, 20.000, "/m/01g50p,/m/04zmvq,/m/06d_3,/m/07jdr"
2TUhNRH_cag, 30.000, 40.000, "/m/0912c9,/m/09x0r,/t/dd00128"
2TW5ZDk8_A0, 20.000, 30.000, "/m/04fq5q,/m/09x0r"
2V56kbDXe4o, 30.000, 40.000, "/m/03qc9zr,/m/04rlf"
2VA6hYWCyzY, 340.000, 350.000, "/m/07yv9,/m/09ct_"
2ZmDUwmq8ew, 530.000, 540.000, "/m/025rv6n,/m/07qwf61,/m/0dbvp"
2a2I3cOHAXc, 20.000, 30.000, "/m/01j4z9,/m/0_ksk"
2aFTuTVFkEw, 30.000, 40.000, "/m/02rhddq,/m/07yv9"
2b_2jvy-qos, 20.000, 30.000, "/t/dd00134"
2dazr-GBSFY, 410.000, 420.000, "/m/025rv6n,/m/07qwf61,/m/0dbvp"
2eAI-g3R7zM, 30.000, 40.000, "/t/dd00134"
2fc_QUbbS-I, 470.000, 480.000, "/m/01y3hg,/m/09x0r,/t/dd00125"
2gZSKHW7TTM, 30.000, 40.000, "/m/01b82r,/m/07pdjhy,/m/083vt"
2gglio4c-HY, 470.000, 480.000, "/m/04fq5q"
2i_xXpPIi0w, 210.000, 220.000, "/m/01y3hg,/m/09x0r"
2mAbc1JnXXY, 10.000, 20.000, "/m/0463cq4,/m/09x0r"
2mJbGx5D-zA, 150.000, 160.000, "/m/05tny_,/m/068hy,/m/07rc7d9,/m/0bt9lr,/m/0jbk"
2nbyIEmQAaU, 400.000, 410.000, "/m/02l6bg,/m/07yv9,/m/09x0r"
2oKQdQyXFO0, 180.000, 190.000, "/m/068hy,/m/07rrh0c,/m/0bt9lr,/m/0jbk"
2oT1tf8FRoU, 260.000, 270.000, "/m/03kmc9,/m/07qwyj0,/m/0dgbq"
2p7QjnOHpUI, 30.000, 40.000, "/m/068hy,/m/07r_k2n,/m/0bt9lr,/m/0jbk"
2p_d6vsFKJM, 0.000, 10.000, "/m/05x_td,/m/0912c9,/t/dd00125"
2pfjZSno0Bg, 260.000, 270.000, "/m/01g50p,/m/0284vy3,/m/06d_3,/m/07jdr,/m/07rwm0c"
2rI9D2T-WZs, 30.000, 40.000, "/m/07q4ntr,/m/07rwj3x"
2rM5bInx6wY, 60.000, 70.000, "/m/04rlf,/m/07sr1lc,/t/dd00126"
2rcRqeXnsNw, 18.000, 28.000, "/t/dd00134"
2s1kkwMhDiM, 90.000, 100.000, "/m/03p19w,/m/04rlf,/m/09x0r,/t/dd00128"
2sbfNvZgrPI, 90.000, 100.000, "/m/01d3sd,/m/068hy,/m/0bt9lr,/m/0jbk"
2v0Lmxftv_4, 80.000, 90.000, "/m/03l9g"
2x3-zPubbpA, 30.000, 40.000, "/m/02rhddq,/m/07r04,/m/07yv9"
2xfblPoNjdg, 80.000, 90.000, "/m/04_sv,/m/07yv9,/m/0h9mv"
2yZrVDiAg_E, 310.000, 320.000, "/m/03p19w,/m/04rlf"
2yvAkx620Vo, 250.000, 260.000, "/m/07qv_d5,/m/07yv9,/m/0912c9,/m/09x0r"
2zw8uUauLcc, 30.000, 40.000, "/m/068hy,/m/09x0r,/m/0bt9lr,/m/0jbk,/t/dd00136"
2zySE2UJSJ4, 0.000, 10.000, "/m/03p19w,/m/09x0r,/t/dd00126"
3-d24x3bPe0, 23.000, 33.000, "/t/dd00134"
32V2zsK7GME, 110.000, 120.000, "/m/07phhsh,/m/07yv9,/m/0k4j"
33xTgZMTq54, 60.000, 70.000, "/m/01jwx6,/m/02mk9,/m/04_sv,/m/07pb8fc,/m/07yv9,/t/dd00128"
36BQNuC3SSo, 70.000, 80.000, "/m/04rlf,/m/068hy,/m/07qf0zm,/m/0bt9lr,/m/0jbk"
385OLsVRaAU, 10.000, 20.000, "/m/02mfyn"
38OjpkpMB0Q, 140.000, 150.000, "/m/0463cq4,/m/09x0r"
391V6NBnd0U, 30.000, 40.000, "/m/012f08,/m/04rlf,/m/07rknqz,/m/07yv9,/m/09x0r,/m/0k4j"
3AYBZ2623dk, 30.000, 40.000, "/m/07r04,/m/07yv9,/m/0gvgw0"
3ERj8It26dk, 10.000, 20.000, "/m/03qc9zr"
3Gjt5oUIvyc, 210.000, 220.000, "/m/01b82r,/m/07k1x,/m/07pdjhy,/m/083vt"
3JUfBqcy2gU, 30.000, 40.000, "/m/068hy,/m/07rc7d9,/m/0bt9lr,/m/0jbk,/t/dd00136"
3L4V3ZJzw9M, 30.000, 40.000, "/m/07yv9,/m/0gvgw0"
3L8swdSZj5w, 10.000, 20.000, "/m/07yv9,/t/dd00065"
3N5JLFOKk6Y, 30.000, 40.000, "/m/04rlf,/m/068hy,/m/07qf0zm,/m/0bt9lr,/m/0jbk,/t/dd00136"
3Nzt343kCl4, 30.000, 40.000, "/m/03v3yw,/m/07yv9,/m/09x0r,/m/0k4j"
3OayXXRtdk4, 70.000, 80.000, "/m/07rknqz,/m/07yv9,/m/0k4j,/m/0ltv"
3PM0O0dOCXs, 30.000, 40.000, "/t/dd00134"
3QiGuXETYnQ, 12.000, 22.000, "/m/068hy,/m/0bt9lr,/m/0jbk,/t/dd00136"
3QibDiritdU, 120.000, 130.000, "/m/07rn7sz,/m/09x0r,/t/dd00125"
3SfslfDi7W8, 0.000, 10.000, "/m/04rlf,/m/07p6fty,/m/09x0r"
3SofTMsRnJg, 30.000, 40.000, "/m/04fq5q"
3T9vSTxmwD0, 11.000, 21.000, "/m/068hy,/m/07r_k2n,/m/0bt9lr,/m/0jbk"
3UAvkNVtoak, 10.000, 20.000, "/m/07rn7sz,/m/09x0r"
3Z0Gl7RHThc, 280.000, 290.000, "/m/04rlf,/m/04zjc,/m/07rn7sz,/m/09x0r"
3_14lh_jd4s, 400.000, 410.000, "/m/03l9g"
3cugy18s-PI, 30.000, 40.000, "/m/02mfyn"
3e_3yFdH-Ck, 30.000, 40.000, "/m/068hy,/m/09x0r,/m/0bt9lr,/m/0jbk,/t/dd00136"
3esyOI3cuPI, 340.000, 350.000, "/m/02mk9,/m/04gxbd,/m/07yv9,/m/09x0r,/m/0k4j"
3h4DzWiMLoY, 30.000, 40.000, "/m/0195fx,/m/01g50p,/m/06d_3,/m/07jdr"
3kjZVMrgwJs, 30.000, 40.000, "/m/04rlf,/m/07q4ntr,/m/07rwj3x"
3klGi-ujenE, 90.000, 100.000, "/m/014yck,/m/07yv9,/m/0cmf2,/m/0k5j"
3kuAfESRl0s, 21.000, 31.000, "/m/07pxg6y"
3mor5mPSYoU, 7.000, 17.000, "/t/dd00134"
3pdtjFxxBs0, 12.000, 22.000, "/m/07yv9,/m/0gvgw0,/m/0k4j"
3pqWcHci9jU, 30.000, 40.000, "/m/04rlf,/m/07q4ntr,/m/07rwj3x"
3qBG14yCkg0, 100.000, 110.000, "/m/01g50p,/m/06d_3,/m/07jdr,/m/07rwm0c,/t/dd00048"
3rWuqvyN4os, 8.000, 18.000, "/m/01y3hg"
3rb2re_HN7s, 20.000, 30.000, "/m/068hy,/m/07qf0zm,/m/0bt9lr,/m/0jbk"
3sYPuktlyDY, 310.000, 320.000, "/m/03qc9zr,/m/09x0r"
3uZy0wkterE, 30.000, 40.000, "/m/012ndj,/m/03j1ly,/m/03kmc9"
3ucGON1gEZk, 500.000, 510.000, "/m/07yv9,/m/0h9mv,/m/0k4j"
3xCWI_22Z9A, 50.000, 60.000, "/m/01z5f,/m/05tny_,/m/068hy,/m/09x0r,/m/0bt9lr,/m/0jbk"
3zEWsAPEdd0, 30.000, 40.000, "/m/068hy,/m/07r_k2n,/m/07rc7d9,/m/09x0r,/m/0bt9lr,/m/0jbk,/t/dd00136"
3zVgCg1-xy0, 250.000, 260.000, "/m/015lz1,/m/04rlf,/m/07q4ntr,/m/07sr1lc,/t/dd00126,/t/dd00127"
